movieId,name,year,Mystery,Drama,Western,Sci-Fi,Horror,Film-Noir,Crime,Romance,Fantasy,Musical,Animation,War,Adventure,Action,(no genres listed),Comedy,Documentary,Children,Thriller,IMAX
1,Toy Story,1995,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False
2,Jumanji,1995,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
3,Grumpier Old Men,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
4,Waiting to Exhale,1995,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
5,Father of the Bride Part II,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6,Heat,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
7,Sabrina,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
8,Tom and Huck,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
9,Sudden Death,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10,GoldenEye,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
11,"American President, The",1995,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12,Dracula: Dead and Loving It,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
13,Balto,1995,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
14,Nixon,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Cutthroat Island,1995,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
16,Casino,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17,Sense and Sensibility,1995,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
18,Four Rooms,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
19,Ace Ventura: When Nature Calls,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
20,Money Train,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
21,Get Shorty,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
22,Copycat,1995,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
23,Assassins,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
24,Powder,1995,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Leaving Las Vegas,1995,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
26,Othello,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Now and Then,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
28,Persuasion,1995,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
31,Dangerous Minds,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
34,Babe,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35,Carrington,1995,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
36,Dead Man Walking,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
37,Across the Sea of Time,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
38,It Takes Two,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
39,Clueless,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
40,"Cry, the Beloved Country",1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,Richard III,1995,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42,Dead Presidents,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
43,Restoration,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,Mortal Kombat,1995,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
45,To Die For,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
46,How to Make an American Quilt,1995,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
47,Seven (a.k.a. Se7en),1995,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
48,Pocahontas,1995,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
49,When Night Is Falling,1995,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
50,"Usual Suspects, The",1995,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
52,Mighty Aphrodite,1995,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
53,Lamerica,1994,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
54,"Big Green, The",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
55,Georgia,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,Home for the Holidays,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,"Postman, The (Postino, Il)",1994,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
59,"Confessional, The (Confessionnal, Le)",1995,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,"Indian in the Cupboard, The",1995,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
61,Eye for an Eye,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
62,Mr. Holland's Opus,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
